08-10-2012 11:20:05

Radiation device: UTest
Energy: 6 MeV
Controller:	Unspecified
Measurement device:	Film
Field detector:	Film
Reference detector:	Undefined
SAD:	1000 mm
SSD:	1000 mm
Field size:	100 x 100 mm
Gantry angle: 3
Measurement medium: Unknown
Scan type:	Freescan
Scan mode:	Continuous

Points [mm]:
Inline	Crossline	Depth	Normalized field	Current field	Ratio
132.11	125.40	0.00	79.93	0.00	0.00	
132.11	125.57	0.00	80.09	0.00	0.00	
132.10	125.74	0.00	80.40	0.00	0.00	
132.10	125.91	0.00	80.73	0.00	0.00	
132.10	126.08	0.00	80.99	0.00	0.00	
132.09	126.25	0.00	81.11	0.00	0.00	
132.09	126.42	0.00	81.12	0.00	0.00	
132.09	126.59	0.00	80.55	0.00	0.00	
132.08	126.76	0.00	80.18	0.00	0.00	
132.08	126.93	0.00	80.17	0.00	0.00	
132.07	127.09	0.00	80.43	0.00	0.00	
132.07	127.26	0.00	80.43	0.00	0.00	
132.07	127.43	0.00	80.57	0.00	0.00	
132.06	127.60	0.00	80.67	0.00	0.00	
132.06	127.77	0.00	80.82	0.00	0.00	
132.06	127.94	0.00	81.24	0.00	0.00	
